term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
ήρθα,Γι' αυτό ήρθα εδώ σήμερα.,en,I came,,
ήρθαν,Από πού ήρθαν τόσοι άνθρωποι;,en,They came,,
ήρθατε,Καλώς ήρθατε στο LingQ.,en,you came,,
ήρθε,Από που ήρθε τόσος κόσμος;,en,he/she/it came,,
ήσουν,...ποιο σώμα του στρατού ήσουν;,en,you were,,
θέα,...τον καφέ σου με θέα την θάλασσα,en,"view, sight",,
θεατρική,που συμμετέχει σε μία θεατρική παράσταση,en,theater,,
θέμα,"Α: Λοιπόν, στο θέμα μας.",en,"theme, issue",,
θεούς,να μην προκαλεί τους θεούς λέγοντας πως είναι καλύτερη...,en,gods,,
θερμοκρασία,Σήμερα η θερμοκρασία,en,temperature,,
θέση,...εισιτήριο για την καλύτερη θέση που είχε απομείνει.,en,position,,
θησαυρό,...θα βρεις έναν τεράστιο θησαυρό!,en,treasure,,
θυμάμαι,Θυμάμαι πότε μετακόμισε.,en,remember,,
θυμάστε,Θυμάστε που στο τελευταίο βίντεο,en,Remember,,
θυμήσου,,en,remember!,,
θυμίζει,...ωραία ατμόσφαιρα που μας θυμίζει την Ιταλία και την...,en,reminds,,
ιαπωνικά,Άρχισα να πηγαίνω σε ιαπωνικά εστιατόρια και ήμουν τόσο...,en,Japanese,,
ιδέα,Αυτή είναι μια καλή ιδέα.,en,idea,,
ίδια,...LingQs που έχουν την ίδια ετικέτα.,en,same,,
ίδιο,Κάνει το ίδιο πράγμα κάθε μέρα.,en,same,,
ίσως,"Α: Πάω αρκετά συχνά, ίσως μια φορά την εβδομάδα.",en,"perhaps, maybe, may",,
ιωαννίδου,...πολύ την κυρία Μαργαρίτα Ιωαννίδου η οποία μου έστειλε...,en,Ioannidou,,
καθαρά,ονομάζεται Καθαρά Δευτέρα,en,"clean, clear, clearly, net",,
καθαρίζουμε,επειδή καθαρίζουμε τον χαμό,en,clean,,
καθάρισμα,...φαγητού και κυρίως στο καθάρισμα.,en,cleaning,,
καθαρό,Πρέπει να έχω έναν καθαρό και τακτοποιημένο χώρο,en,"clean, pure",,
κάθε,...Μιχάλης σηκώνεται στις έξι κάθε πρωί.,en,Each,,
κάθεται,Κάθεται δίπλα στον πάγκο με...,en,he/ she/ it sits,,
καθημερινά,"Και το χρησιμοποιούμε καθημερινά,",en,daily,,
καθημερινό,Οι Έλληνες στον καθημερινό τους λόγο,en,"daily, everyday",,
καθημερινότητά,στην καθημερινότητά μας.,en,everyday life,,
καθόλου,"...απογεύματα, και δεν έχει καθόλου ελεύθερο χρόνο τις Δευτέρες.",en,"not at all, none, any",,
και,Φτιάχνει πρωινό και πίνει καφέ.,en,and,,
καινούρια,...Λίζα θέλει να αγοράσει καινούρια παπούτσια.,en,new,,
καιρός,Ο καιρός περνάει.,en,"n. time, weather",,
και τα δύο,...μπορώ να τα έχω και τα δύο.,en,both,,
κακοί,"πολύ κακοί, ότι δηλαδή, οι κακοί...",en,bad,,
κάκτο,...και έφερε αυτό τον κάκτο,en,cactus,,
κάκτοι,"...ότι, επειδή γενικά οι κάκτοι είναι πολύ εύκολο να...",en,cacti,,
κάκτος,...είναι τώρα ένας χαρούμενος κάκτος.,en,Cactus,,
καλημέρα,Α: Καλημέρα,en,good day,,
καλοκαιρινά,"...με βλέπετε να φοράω, καλοκαιρινά ρούχα.",en,summertime,,
καλωσορίζουμε,γιατί έτσι καλωσορίζουμε την άνοιξη,en,Welcome,,
κανάλι,...ήλθατε και πάλι στο κανάλι μου,en,"channel, canal",,
κανένα,Δε με νοιάζει για κανένα,en,"no, none, no one",,
κάνετε,"Γεια σας, Τι κάνετε?",en,you (formal singular; plural) are doing/ you do,,
κανόνες,Δεν θα μάθετε γραμματικούς κανόνες.,en,rules,,
κανονικά,διαρκεί κανονικά τρεις ώρες.,en,normally,,
κανονικές,δε θα πρότεινα ούτε κανονικές ταινίες,en,normal,,
κάντε,"Απλώς κάντε ό,τι λέω και θα...",en,Make,,
κάποιες,Και τώρα κάποιες ερωτήσεις.,en,some,,
κάποιοι,είναι κάποιοι από τους ελληνικούς χειμερινούς...,en,some,,
κάποιον,Σε κάποιον ή κάτι,en,someone,,
κάποιος,...όταν μου την σύστησε κάποιος για να της κάνω...,en,Someone,,
κάπου,Οπότε θα πάει κάπου φθηνά.,en,"(adv) somewhere, about; about, some, approximately, something like, or so; (κάπου-κάπου) sometimes, occasionally, now and then [ κάπου ]*",,
καραβάκια,...στη θάλασσα έχει μικρά καραβάκια και βάρκες .,en,small boats,,
καρδιάς,μεταξύ της καρδιάς και του μυαλού.,en,heart,,
καρέκλα,Α: Είναι στην καρέκλα δίπλα στο τραπέζι.,en,chair,,
κατά,"Έτσι, κατά κάποιο τρόπο μόνο μένω...",en,at/against/on/during,,
καταλαβαίνουμε,είτε επειδή δεν καταλαβαίνουμε,en,understand,,
κατάλογο,Ας ζητήσουμε τον κατάλογο από το σερβιτόρο.,en,"list, catalogue, menu",,
κατάλογος,Αν δεν υπάρχει κατάλογος στο τραπέζι και χρειάζεστε...,en,"(nm) list, catalog; directory, menu",,
κάτασπρα,"...φρύδια μου είναι τελείως κάτασπρα, δεν ξέρω αν μπορείτε...",en,pure white,,
καταστάσεις,για να τακτοποιηθούν δύσκολες καταστάσεις.,en,situations,,
κατάστημα,...σπίτι και βλέπει ένα κατάστημα κατοικίδιων ζώων.,en,shop,,
καταστήματα,...επίσης πολλές δουλειές σε καταστήματα.,en,stores,,
καταφέρει,...δύσκολο που έχετε ήδη καταφέρει.,en,managed,,
καταφέρουμε,για να τον καταφέρουμε.,en,manage,,
κατεβάσεις,Μην ξεχάσεις να κατεβάσεις το FREE PDF,en,download,,
κατεβούμε,...πάμε εκεί πρέπει να κατεβούμε αυτή τη μεγάλη σκάλα.,en,descend,,
κάτι,Σε κάποιον ή κάτι,en,something,,
καφέ,Φτιάχνει πρωινό και πίνει καφέ.,en,coffee,,
κει,...από δω κι από κει.,en,here and there,,
κειμένου,...βρει τη σημασία του κειμένου.,en,text,,
κενταύρων,...για το μονοπάτι των Κενταύρων.,en,Centaurs,,
κεφαλαίο,...της εβδομάδας γράφονται με κεφαλαίο.,en,"capital letters, upper case",,
κι,Κι ας λεν οι άλλοι...,en,and,,
κίνηση,Ο αυτοκινητόδρομος έχει πολλή κίνηση.,en,"traffic, motion, movement",,
κινητό,...να αγοράσει ένα τέτοιο κινητό,en,mobile,,
κλαίει,"κλαίει, για παράδειγμα.",en,crying,,
κλασικό,Είναι πολύ κλασικό φαγητό.,en,classic,,
κλασσικά,κλασσικά αργούσα 5 με 10...,en,"classically,classic",,
κλείσεις,Ίσως χρειαστεί να κλείσεις τραπέζι,en,"you close, cover over, shut",,
κλείσουν,κυριολεκτικά μισή ώρα πριν κλείσουν τα μαγαζιά.,en,close,,
κλίμα,και το κλίμα πιο οικογενειακό,en,"(nn) climate; atmosphere, mood, ambiance [ κλίμα ]",,
κοιμηθώ,και δεν μπορώ να κοιμηθώ.,en,sleep,,
κοινά,τα μέλη μοιράζονται κάποια κοινά χαρακτηριστικά.,en,common,,
κοινή,"...η ρίζα τους είναι κοινή,",en,common,,
κοκα,-1 μεγάλη κοκα κολα,en,coke,,
κολεξιόν,τι κολεξιόν έχει ο Dior φέτος...,en,collections,,
κομμάτι,"...αποδεικνύει αυτό το δημιουργικό κομμάτι της προσωπικότητάς μου,",en,"piece, part, cut",,
κομμάτια,Βλέπεις ότι έχει μεγάλα κομμάτια.,en,pieces,,
κομπιούτερ,...πολλές φορές τα λέει ''κομπιούτερ'',en,computer,,
κομπλιμέντο,"...μπορείς να κάνεις ένα κομπλιμέντο,",en,compliment,,
κονσίλερ,"Δεν έχω φορέσει κονσίλερ, δεν έχω φορέσει τίποτα...",en,concealer,,
κοντά,Που βρίσκεται κοντά μας,en,close,,
κοντοσούβλι,αυτό λέγεται ‘'κοντοσούβλι'' κοτόπουλο. Είναι σαν σουβλάκι...,en,kontosubli,,
κόρη,Η κόρη μου πηγαίνει στο σχολείο...,en,daughter,,
κόσμημα,αυτό εδώ το κόσμημα.,en,"jewel,gem,ornament",,
κόσμο,...το μπαρ έχει αρκετό κόσμο.,en,people/world,,
κοσμοπολίτικο,Γιατί συνδυάζει... είναι κοσμοπολίτικο νησί... δηλαδή έχει...,en,cosmopolitan,,
κόσμος,Από που ήρθε τόσος κόσμος;,en,"world, people",,
κοστίζει,Το αεροπορικό εισιτήριο κοστίζει πολύ.,en,costs,,
κουμ,και αυτό είναι κουμ κουάτ. Μου το έφερε...,en,kumquat,,
κουρασμένος,...ακόμη βαριέται και είναι κουρασμένος.,en,tired,,
κουράστηκες,Αν λοιπόν αισθάνεσαι ότι κουράστηκες λίγο να διαβάζεις ελληνικά...,en,you are tired,,
κουσκουσάκι,Λέγεται κουσκουσάκι ή αλλιώς κους κους.,en,couscous,,
κόψουμε,μπορούμε να κόψουμε τα μαλλιά μας,en,cut,,
κρεβάτι,...τον γιο τους στο κρεβάτι στις οκτώ.,en,bed,,
κρέμες,"...πάρα πολύ να αγοράζω κρέμες, μου αρέσει πάρα πολύ...",en,creams,,
κρητική,"Στην Κρήτη η κρητική λύρα, στην Ήπειρο το...",en,Cretan,,
κτίρια,...σας μιλήσω για τα κτίρια.,en,buildings,,
κτιρίων,...πολύ η αρχιτεκτονική των κτιρίων στη Βουδαπέστη.,en,buildings,,
κυριάκος,Ο Κυριάκος κάνει διάλειμμα στο σχολείο.,en,Kyriacos,,
κυριολεκτικά,"Κυριολεκτικά κλαίω, όταν είμαι στεναχωρημένη,",en,literally,,
κυρίως,"Στην Ελλάδα, τον χειμώνα κυρίως βρέχει,",en,"mainly, principally, chiefly",,
κώμα,το κώμα,en,The coma,,
κωνσταντίνου,"...και το Χρήμα'' του Κωνσταντίνου Θεοτόκη, που είναι μία...",en,Constantine,,
κωνσταντινούπολης,Γιατί η άλωση της Κωνσταντινούπολης έγινε Τρίτη 29 Μαΐου...,en,Constantinople,,
κώστας,Κώστας Καραμανλής στην πρόταση δυσπιστίας...,en,Costas,,
λάθη,...να μάθετε από τα λάθη σας.,en,errors,,
λάθος,...σώματα αν δεν κάνω λάθος.,en,"wrong/ incorrect, mistake",,
λαχανικά,Θα αγοράσει πολλά λαχανικά για τα ζυμαρικά.,en,"greens, vegetables",,
λέγονται,"...τις δύο τελείες , που λέγονται διαλυτικά.",en,they are called,,
λείπει,Α: Τους λείπει η πόλη;,en,"absent, missing",,
λέξεων,...τη σημασία των νέων λέξεων και φράσεων.,en,word  term,,
λεξιλόγιό,...λοιπόν να εμπλουτίσουμε το λεξιλόγιό μας,en,vocabulary,,
λεξούλες,"ανήκουν όλες εκείνες οι λεξούλες,",en,little words,,
λεπτά,"Γ: Όχι, είναι μόλις 30 λεπτά με το αυτοκίνητο...",en,minutes/thin,,
λεπτό,Σκέφτεται για ένα λεπτό.,en,minute,en,"minute, fine, thin, slender"
λέτε,Α: Γιατί το λέτε αυτό; Πού το ξέρετε;,en,say,,
λεωφορείο,...ακούσετε όταν βρίσκεστε στο λεωφορείο.,en,bus,,
λίζα,Η Λίζα θέλει να αγοράσει καινούρια...,en,Lisa,,
λίστα,Ελέγχει την λίστα με τις καινούριες ταινίες...,en,list,,
λογαριασμό,...χρήματα του κόσμου για λογαριασμό τους.,en,"bill, account",,
λόγια,"Με άλλα λόγια, όταν στα αγγλικά θέλετε...",en,"words,talking",,
λοιπά,...η Νικήτη και τα λοιπά .,en,other,,
λοιπόν,Α: Λοιπόν εντάξει.,en,"so, thus, well, then, now",,
λύκειο,Ο Γιάννης είναι στο Λύκειο.,en,high school,,
μα,Γ: Μα πρέπει να με βοηθήσετε.,en,but,,
μαγαζί,"...αν πήγαινα σε ένα μαγαζί πριν την δουλειά, θα...",en,shop,,
μαγαζιά,Τέτοια μαγαζιά προτιμούν συνήθως οι εργαζόμενοι...,en,shops,,
μαγαζιού,"Το όνομα του μαγαζιού ) λέγεται , παρακαλώ!",en,shop,,
μάγειρας,Ο Μιχάλης είναι μάγειρας σε ένα εστιατόριο.,en,cook,,
μαγειρεύουμε,Οι Έλληνες συνήθως μαγειρεύουμε τους γίγαντες στον φούρνο,en,cook,,
μαγείρεψες,"...σου είναι τέλειο, το μαγείρεψες πάρα πολύ ωραία και...",en,you cook,,
μαζί,Μαζί σου όλα τα μπορώ,en,together,,
μαθαίνει,Ο Ξενοφών σας μαθαίνει Ελληνικά,en,teaches,,
μαθαίνοντας,Αν διασκεδάζετε μαθαίνοντας θα μαθαίνετε καλύτερα.,en,learning,,
μακριά,Που βρίσκεται λίγο πιο μακριά,en,away,,
μάλιστα,Α: Τώρα μάλιστα.,en,"even, indeed",,
μάλλον,Μάλλον δεν έχω αρκετό τσαγανό.,en,probably,,
μανικιούρ,"ή κρέμες ή μανικιούρ και τα λοιπά, γιατί...",en,manicure,,
μαραθώνιο,...λάβω μέρος σε ένα μαραθώνιο.,en,marathon,,
μαργαρίτα,...πάρα πολύ την κυρία Μαργαρίτα Ιωαννίδου η οποία μου...,en,daisy,,
μαρμελάδα,με μέλι αλλά και μαρμελάδα ή βούτυρο.,en,"marmalade, jam",,
μάρτη,...τη φωτιά καίμε τον μάρτη.,en,March,,
με,Πηγαίνει στην δουλειά του με το αυτοκίνητό του.,en,with,,
μεγαλώνω,και μεγαλώνω μια κατάσταση.,en,grow up,,
μεγάλωσα,Εκεί μεγάλωσα.,en,I grew up,,
μέλι,"...είτε σιρόπι αγαύης, είτε μέλι.",en,honey,,
μένα,"...είναι πολύ σημαντικό για μένα, όπως θα καταλάβετε.",en,me,,
μέρη,...θα επισκεφθεί μερικά φημισμένα μέρη στην πόλη.,en,places; parts,,
μερικά,Θα σας δώσω μερικά επιπλέον παραδείγματα και πληροφορίες,en,a few,,
μερικές,Έχει μερικές ημέρες άδεια τον χειμώνα.,en,a few,,
μερικοί,Μερικοί πελάτες είναι φιλικοί προς...,en,Some,,
μέρος,...Ανδρέας προχωρά προς το μέρος με τα λαχανικά.,en,part,,
μέση,...μην τη διακόψουμε στη μέση,en,"middle, center",,
μετά,Μετά έχουμε τη δεικτική αντωνυμία,en,After,,
μετακομίσει,Θέλει να μετακομίσει σε ένα νέο διαμέρισμα.,en,moved,,
μεταφορικά,τη χρησιμοποιούμε μεταφορικά.,en,"figuratively, metaphorically",,
μεταφράσουμε,να μεταφράσουμε τα βίντεό μου και...,en,translate,,
μέχρι,Α: Συνήθως οδηγώ μέχρι τα γύρω βουνά.,en,"until, as far as, to",,
μη,Α: Θα μπορούσε να μη σας γράφει για διάφορους...,en,not (alternate negation of Δεν),,
μην,Ίσως να μην μπορεί να μάθει πως...,en,"not, don't",,
μήπως,Ανησυχούσα πολύ μήπως βρεθώ σε αμήχανη θέση.,en,Maybe,,
μηχανή,"...δηλαδή μία Αυτόματη, Ταμειακή Μηχανή.",en,machine,,
μηχανικό,"Το μηχανικό μου μολύβι, η πένα...",en,"engineer, engine, mechanical",,
μικρής,"...χρήματα , ένα χρηματικό ποσό μικρής αξίας.",en,short,,
μιλήσουμε,Και σήμερα θα μιλήσουμε για τις δεικτικές αντωνυμίες,en,talk,,
μιλούσαν,...Σάσα και η Τζένη μιλούσαν για αυτό κάθε μέρα...,en,speaking,,
μιλώντας,μιλώντας για την εξωτερική εμφάνιση.,en,speaking,,
μισό,Παρακαλούμε να μας φέρετε μισό μπουκάλι από το δικό...,en,half,,
μιχάλης,Ο Μιχάλης σηκώνεται στις έξι κάθε...,en,(michális) - Michael,,
μόδα,"...άποψη σχετικά με τη μόδα, με τα ρούχα, με...",en,fashion,,
μοιάζει,Ο αδερφός σας σας μοιάζει.,en,"looks like, resembles",,
μοιραζόμαστε,Δε μοιραζόμαστε το ίδιο κρεβάτι!,en,"""share""",,
μοιραστώ,"Σήμερα, θα μοιραστώ μαζί σας,",en,share,,
μόλις,"Γ: Όχι, είναι μόλις 30 λεπτά με το...",en,"just, barely, hardly, only; as soon as, once",,
μοναδικό,και αυτό ήταν το μοναδικό σημείο,en,single,,
μόνη,"Γ: Αν είμαι μόνη, βράζω λίγη σούπα και...",en,"alone, by myself",,
μονόλογο,Και έκανα αυτό το μονόλογο για να σου πω...,en,monologue,,
μοντέλο,...έχω αποφασίσει ακόμη ποιο μοντέλο.,en,model,,
μπαλκόνι,...το δωμάτιό σου στο μπαλκόνι.,en,balcony,,
μπαταρίες,"το πληκτρολόγιο μου, μπαταρίες για την κάμερα, το...",en,batteries,,
μπλούζα,...αφήνει να φοράω όποια μπλούζα θέλω.,en,blouse,,
μπορώ,Μπορώ να συναντήσω πολλούς φιλικούς ανθρώπους.,en,Can,,
μπουκάλι,...Συνήθως θα ανοίξω ένα μπουκάλι κρασί με το γεύμα.,en,bottle,,
μπροστά,...φορά που θα μιλήσει μπροστά σε μεγάλο ακροατήριο.,en,"in front of, before, forward",,
μυαλό,"Δηλαδή ,το μυαλό συμβολίζει τη λογική,",en,"mind,brain",,
μυθολογίας,...θα βρεις βίντεο ελληνικής μυθολογίας κι ελληνικής ιστορίας με...,en,mythology,,
μύκονο,"...Κρήτη, στην Πάρο, στη Μύκονο, στη Χίο,",en,Mykonos,,
μυστικά,θα σου πω τα μυστικά μου !,en,"secretly, secret",,
ναι,"Ναι, ο Μιχάλης σηκώνεται στις...",en,Yes,,
νέες,Θα μάθετε πολλές νέες λέξεις.,en,new,,
νερό,Αλλά φοβάται το νερό.,en,water,,
νευρικός,Είναι νευρικός και αναρωτιέται τι να...,en,nervous,,
νησάκια,Νησάκια όπως οι Σπέτσες ή...,en,islands,,
νησιά,...παραθαλάσσιες περιοχές και στα νησιά,en,islands,,
νίκη,...είναι η λέξη νοίκι-νίκη.,en,"victory, win",,
νιώθεις,...πολύ αποφασιστική και δε νιώθεις εύκολα αμήχανα.,en,feel,,
νιώθουμε,"όταν δε νιώθουμε καλά,",en,Feel,,
νιώθω,Δε νιώθω ότι είναι σωστό.,en,I feel,,
νιώσει,αν έχετε νιώσει παρόμοια συναισθήματα,en,feel,,
νοήματα,...μπορεί να έχει δύο νοήματα.,en,"signs, meanings (νόημα)",,
νοιάζει,Δε με νοιάζει για κανένα,en,He/she/it cares,,
νομίζω,Νομίζω ότι είναι πολύ βαρετές.,en,Think,,
νομικά,και πρέπει να τιμωρείται νομικά.,en,legally,,
νοσοκομείο,"πριν πάει στο νοσοκομείο,",en,hospital,,
νωρίς,Σηκώνεται νωρίς ο Μιχάλης?,en,"early (before the expected time)soon",,
νωρίτερα,πάω πάντα νωρίτερα στη δουλειά μου.,en,earlier,,
ξανά,Ίσως μπορούν να δοκιμάσουν ξανά την επόμενη εβδομάδα.,en,"again, previously",,
ξαναδεί,...το οποίο το έχω ξαναδεί και το έχω ξανακούσει,en,seen again,,
ξανακούσει,Α: Δεν την έχω ξανακούσει αυτή την τράπεζα.,en,heard,,
ξαναπροσπαθήσετε,Αλλά πρέπει να ξαναπροσπαθήσετε,en,try again,,
ξαφνικά,"Ξαφνικά ο κοντός βλέπει μακριά,",en,suddenly,,
ξεκίνησα,Μαντέψτε τι ξεκίνησα.,en,I started,,
ξεκινήσει,Προσπαθεί να ξεκινήσει το αυτοκίνητο της.,en,started,,
ξέχασα,Αλλά ξέχασα πώς να φτιάχνω την...,en,I forgot,,
ξεχάσει,Αλλά ο Ερρίκος είχε ξεχάσει το βιβλίο του.,en,forgotten,,
ξεχάσετε,Θα τους ξεχάσετε.,en,forget,,
ξεχασμένο,"...πάρα πολλά χρόνια, λίγο ξεχασμένο.",en,Forgotten,,
ξεχνάμε,και ξεχνάμε την ουσία.,en,forget,,
ξημερώνει,λέμε ότι ξημερώνει.,en,"dawn,It dawns,dawned",,
ξύπνησα,"και ξύπνησα στις 3:00,",en,I woke up,,
ο,Ο Μιχάλης σηκώνεται στις έξι...,en,the (m. nom. sin.),,
οδήγησης,έχω το δίπλωμα οδήγησης.,en,driving,,
οθόνη,Θέλει μια μεγάλη οθόνη στον υπολογιστή της.,en,"screen, monitor",,
οικογενειακή,"και φιλική, οικογενειακή ατμόσφαιρα.",en,family,,
όλα,Μαζί σου όλα τα μπορώ,en,all,,
ολόκληρες,Χρειάστηκα δύο ολόκληρες μέρες για να συνηθίσω...,en,"whole, entire",,
ολόκληρη,Θα έχει μια ολόκληρη τσάντα με ζυμαρικά νούντλς.,en,entirely; altogether; solely,,
ολόκληρος,Εχει ανοίξει ολόκληρος! Τα παιδάκια το απολαμβάνουν!,en,"whole,entire",,
ομάδα,"...ακολουθείται από μια ποδοσφαιρική ομάδα ή ένα πολιτικό κόμμα,",en,"group, team",,
όμηρος,Ο Όμηρος ήταν ένας αρχαίος ποιητής,en,Homer,,
ομορφιάς,"...τα λοιπά, ηλεκτρονικά, πράγματα ομορφιάς, random πράγματα,",en,beauty,,
όμως,"...πελάτες δεν είναι καλοί, όμως.",en,Nevertheless,,
ονομάζεται,Η καλύτερη της φίλη ονομάζεται Αμαλία.,en,is called,,
οποία,Και τα οποία έχουν τρία διαφορετικά χρώματα.,en,"that, which, who, whom",,
οποίο,...ένα ουσιαστικό για το οποίο έχουμε ήδη μιλήσει,en,which,,
οποίος,ο οποίος μόλις τελείωσε τη στρατιωτική...,en,which,,
οποίους,...άλλοι λόγοι για τους οποίους θες ο Γιώργος να...,en,whom,,
όποτε,Μιλάτε όποτε θέλετε.,en,whenever,,
οπότε,Οπότε θα πάει κάπου φθηνά.,en,so; whenever,,
όπως,"...τη στιγμή, αλλά ευχαριστώ όπως και να 'χει.",en,"as, such as, like",,
οργανισμού,αποτοξίνωσης του οργανισμού μας από ζωικά προϊόντα.,en,Organization/organism body,,
ορίστε,Α: Ορίστε;,en,pardon me,,
ορόφους,από τέσσερις ορόφους.,en,floors,,
όσα,Όσα αγόρια κλείνουν τα 18...,en,"what, as many",,
όση,Έτσι αυτό θα ετοιμάζεται όση ώρα εσύ κοιμάσαι.,en,as much,,
όσο,...ταινίες επιστημονικής φαντασίας τόσο όσο οι ταινίες δράσης.,en,"as, while",,
όταν,Ο Μιχάλης είναι ευτυχισμένος όταν μιλάει στους πελάτες.,en,when,,
ότι,Ότι και να λεν οι...,en,that (conjunction),,
"ό,τι","Ό,τι κι αν κάνεις προσπάθησε...",,,,
οτιδήποτε,Γ: Διαφωνεί με οτιδήποτε λέω.,en,"Anything, whatever",,
ουζάκια,και ήπιαμε τα ουζάκια μας δίπλα στο κύμα,en,ouzaki ( plural),,
ουσία,και ξεχνάμε την ουσία.,en,the essence,,
ούτε,...ότι δεν είναι παντρεμένος ούτε έχει σχέση με αυτό...,en,neither,,
πάει,Θέλει να πάει διακοπές.,en,go,,
παίζαμε,και παίζαμε όλοι μαζί.,en,we played,,
παίζουν,...πολλές φορές βλέπω να παίζουν και διάφορα παιχνίδια.,en,play,,
πακέτα,ή πακέτα.,en,"packages,packets",,
πακετάρω,να πακετάρω,en,pack,,
πακέτο,...περίπτερο και αγόρασα ένα πακέτο σπίρτα.,en,"packet, package",,
πάλι,Και καλώς ήλθατε και πάλι στο κανάλι μου,en,"again, afresh, anew, more",,
παλιά,...του Κάρολου είναι πολύ παλιά.,en,"old, once, formerly, long ago",,
παλιό,Αλλά είναι παλιό και άδειο.,en,old,,
παλιός,Ο υπολογιστής της είναι παλιός και αργός.,en,old,,
πάμε,Γ: Μπορούμε να πάμε αργότερα.,en,we go/let’s go,,
πάνε,...κλείνουν τα 18 τους χρόνια πάνε στρατό.,en,they go,,
πανεπιστήμιο,"...περίπτωση που πας και πανεπιστήμιο,",en,University,,
πανεπιστήμιου,Η Κλαίρη είναι φοιτήτρια πανεπιστήμιου.,en,University,,
πανεπιστημίου,Η Κλαίρη είναι φοιτήτρια πανεπιστημίου.,en,of a university,,
πανεύκολο,...δύσκολο; Δε νομίζω!Ήταν πανεύκολο!,en,"easy, a piece of cake",,
πάντα,Υπάρχει πάντα το οριστικό άρθρο πριν...,en,"always, ever, forever",,
παντρεύεται,...πολύ καλή μας φίλη παντρεύεται.,en,married,,
πάντων,Γ: Τέλος πάντων.,en,everything,,
πάνω κάτω,Γ: Πάνω κάτω πότε ήταν; Πρέπει να...,en,"about, approximately",,
πάρα,Της αρέσει το σχολείο πάρα πολύ.,en,too,,
παρά,...αρέσουν περισσότερο οι κωμωδίες παρά οι ρομαντικές ταινίες.,en,"despite, compared to",,
παραγγείλαμε,Εμείς παραγγείλαμε δύο καφέδες και έναν...,en,we ordered,,
παραγγείλεις,"Αν παραγγείλεις, λοιπόν, κρασί",en,order,,
παραγγελία,"Καλησπέρα σας, μια παραγγελία θα ήθελα",en,order,,
παράδειγμα,Για παράδειγμα,en,example,,
παραδείγματα,...σας δώσω μερικά επιπλέον παραδείγματα και πληροφορίες,en,examples,,
παραδείγματά,...μάθαμε σήμερα και τα παραδείγματά τους,en,examples,,
παραδοσιακά,Παραδοσιακά την Καθαρά Δευτέρα τρώμε,en,traditional,,
παρακαλώ,,,,,
παραλία,...αποφάσιζε να πάει στην παραλία.,en,"seacoast, seashore, seaside, shore",,
παραλίες,αλλά και τις ομορφότερες παραλίες.,en,beaches,,
παραπάνω,...Νομίζω ότι είναι κάτι παραπάνω από αυτό.,en,"further, higher, more",,
παρέα,Συνηθίζουμε να πηγαίνουμε σινεμά παρέα αλλά χθες συναντηθήκαμε για...,en,"together, company, party, companionship",,
πάρεις,Τι θα πάρεις;,en,"you get, you take",,
πάρκα,στα πάρκα και στις πλατείες.,en,parks,,
πάρκο,...εντάξει. Να είσαι στο πάρκο μιας πόλης είναι εύκολο...,en,park,,
παρόμοια,προφέρονται παρόμοια.,en,"(adj) similar [to], akin, suchlike (adv ~α) likewise, alike, similarly [ παρόμοιος ]",,
πάρουμε,"Λοιπόν, τι θα πάρουμε;",en,we take,,
πάρω,"Γ: Ναι, θα πάρω φασολάδα για αρχή.",en,"I get, take",,
πάτε,...και πού θέλετε να πάτε.,en,go,,
πατέρες,...τα παιδιά θάβουν τους πατέρες τους,en,fathers,,
παύση,...την επιλογή να πατήσεις παύση,en,pause,,
πει,ας μας πει τώρα ο Δημήτρης στην...,en,say,,
πεινασμένους,Φτιάχνει φαγητό για πεινασμένους πελάτες.,en,hungry,,
πελάτες,Φτιάχνει φαγητό για πεινασμένους πελάτες.,en,customers,,
πένθιμη,Και είναι μία πολύ πένθιμη μέρα σήμερα και γι...,en,mournful,,
πεντακόσια,"Γ: Αν σας έδινα πεντακόσια δολάρια, θα το κάνατε;",en,five hundred,,
πέρα,Γ: Το πάρκαρα εκεί πέρα στη γωνία.,en,"beyond, past, over",,
περασμένη,Την περασμένη εβδομάδα στα Webinar courses...,en,"last, past, previous",,
περιβάλλον,"...σε αυτό το πολυπολιτισμικό περιβάλλον,",en,"environment, atmosphere, ambiance",,
περιγράφει,και μας περιγράφει την τότε πραγματικότητα,en,describes,,
περιγραφής,...βρίσκεται στο κουτί της περιγραφής.,en,description,,
περίεργες,και περίεργες εκφράσεις,en,"bizarre, strange",,
περίπου,...Είμαι στην εταιρεία μου περίπου 5 χρόνια.,en,"about, approximately",,
περιπτώσεις,...για όλες εκείνες τις περιπτώσεις,en,"cases, occasions, instances (περίπτωση)",,
περίπτωση,"Σε περίπτωση που το ¨αυτός, αυτή...",en,"case, occasion, circumstance, instance",,
περισσότερα,Σύντομα θα καταλαβαίνετε περισσότερα.,en,"more, most",,
περισσότερες,...θα δείτε όλο και περισσότερες κίτρινες λέξεις και φράσεις...,en,Most,,
περισσότερο,"...σας ενδιαφέρει, θα προσπαθήστε περισσότερο να το καταλαβαίνετε.",en,more,,
περιστάσεις,και σε διάφορες περιστάσεις.,en,conditions,,
περίσταση,...είναι πάρα πολύ καλή περίσταση να κάνω ένα κέικ.,en,"circumstance, occasion",,
περνάει,Ο καιρός περνάει.,en,passes,,
περπάτημα,γι'αυτό πάω για περπάτημα.,en,walking,,
